motile_Genes;primary_Genes;gold_Genes;negative_Genes;motile_primary_Genes;motile_gold_Genes;motile_negative_Genes;primary_gold_Genes;primary_negative_Genes;motile_gold_primary_Genes
ABCA5;NPDC1;ABCC4;PGAP1;DCDC2B;AGR3;B3GNT7;NPHP4;ENPP1;CC2D2A
ABCA13;LOXHD1;ABLIM1;ELANE;MAPK10;AK7;CHST6;AKT1;UGCG;CLUAP1
ADGB;APLP1;ABLIM3;MOCS3;OSCP1;ARMC2;COL21A1;RAB11FIP3;ACOT8;DYNC2H1
AGBL2;PAM;ACE2;MOCS2;WDR54;B9D1;MUC4;KIF17;KCNK18;DYNC2LI1
AK9;ALK;ACTR2;MOCS1;NA;BBOF1;MUC15;WDR35;ABCD1;IFT22
AKAP14;CD9;ADAM17;IFNAR1;NA;CCDC40;PPOX;TUB;GCNT1;IFT57
ALDH3B1;ATF1;ADAMTS20;PMM2;NA;CCDC65;SLC27A2;MAPK1;UGT1A1;IFT80
ANKRD66;CAMTA2;ADAMTS9;TYK2;NA;CCDC78;SQLE;BBS7;SQOR;IFT81
ANKUB1;FOXO1;ADCY3;PMM1;NA;CCDC181;NA;IFT74;GBA;IFT88
ARHGAP18;GDE1;ADCY5;SAR1B;NA;CCP110;NA;IFT46;NA;IFT122
ARHGAP39;KCNN1;ADCY6;SLC6A6;NA;CEP83;NA;CNGB1;NA;IFT140
ARMC3;PDE2A;ADGRV1;NDUFAB1;NA;CEP290;NA;TTC8;NA;IFT172
BAIAP2L1;GUCY2D;AGBL5;OGDH;NA;CETN2;NA;ARMC9;NA;KIF19
BCO2;GNAO1;AHI1;LYVE1;NA;CFAP36;NA;TUBB4B;NA;MAK
C1orf87;EGFLAM;AIPL1;CYP46A1;NA;CFAP43;NA;FBF1;NA;NEK10
C2orf73;PRKCE;AK8;NDUFB7;NA;CFAP52;NA;RPGRIP1L;NA;NPHP1
C4orf47;TRPV5;ALMS1;ABCD3;NA;CFAP53;NA;BBS5;NA;RP1
C6orf118;RABGEF1;ALPK1;IRAK1;NA;CFAP54;NA;KCTD10;NA;TCTN1
C7orf57;DYRK3;ANAPC2;IFNA17;NA;CFAP57;NA;KCNQ1;NA;TMEM67
C9orf24;ARHGAP6;ANKRD26;IFNA16;NA;CFAP65;NA;EFCAB7;NA;TMEM231
C10orf95;FOXP1;ANKS3;IRAK4;NA;CFAP69;NA;BBS2;NA;TOGARAM1
C11orf16;LITAF;ANKS6;IFNA14;NA;CFAP70;NA;CNGA1;NA;TRAF3IP1
C11orf97;GUCY1B1;ANO1;SLC38A5;NA;CFAP100;NA;BBS1;NA;WDR19
C17orf97;KCNH5;ANO2;SLC38A4;NA;CFAP126;NA;SAXO1;NA;NA
C20orf85;TTLL11;ARF4;SLC38A1;NA;CFAP157;NA;BBS9;NA;NA
C20orf96;SCYL2;ARHGAP36;LHB;NA;CFAP221;NA;CEP104;NA;NA
C21orf58;KCNA1;ARL2;SLC38A3;NA;CFAP251;NA;ARL13B;NA;NA
C22orf15;CAMK1;ARL2BP;SLC38A2;NA;CFAP298;NA;IFT52;NA;NA
CABCOCO1;NPC1;ARL3;MUC7;NA;CFAP300;NA;TTC26;NA;NA
CAPS;ATF2;ASAP1;BCAT1;NA;CIBAR2;NA;BBS4;NA;NA
CAPSL;PTCHD1;ATAT1;BGN;NA;CPLANE1;NA;PPARA;NA;NA
CASC2;ARPP21;ATG3;MUC19;NA;CROCC;NA;PTPDC1;NA;NA
CASZ1;RXRA;ATG5;MUC16;NA;CSPP1;NA;RAB28;NA;NA
CATSPERD;SLC13A2;ATMIN;CHSY1;NA;DAW1;NA;RP2;NA;NA
CCDC17;EGLN1;ATOH1;MUC13;NA;DLEC1;NA;CNGA2;NA;NA
CCDC30;BAIAP3;ATP4A;MUC12;NA;DNAAF3;NA;ARL6;NA;NA
CCDC57;ARRDC1;ATXN10;CNDP2;NA;DNAAF4;NA;TMEM237;NA;NA
CCDC60;GUK1;AURKA;L2HGDH;NA;DNAAF6;NA;DRD2;NA;NA
CCDC74A;ZMYND11;B9D2;COL7A1;NA;DNAAF11;NA;PDE6D;NA;NA
CCDC74B;SLC35F6;BAG6;D2HGDH;NA;DNAH2;NA;IFT20;NA;NA
CCDC88C;PDE1A;BBIP1;SUCLA2;NA;DNAH5;NA;NA;NA;NA
CCDC96;SEC14L1;BBS10;MMP14;NA;DNAH6;NA;NA;NA;NA
CCDC113;SLC44A2;BBS12;MMP15;NA;DNAH7;NA;NA;NA;NA
CCDC146;SMC4;C2CD3;HSD17B10;NA;DNAH9;NA;NA;NA;NA
CCDC153;PTBP1;CFAP418;MMP17;NA;DNAH10;NA;NA;NA;NA
CCDC170;EGR1;CACNA1C;MMP10;NA;DNAH11;NA;NA;NA;NA
CCDC191;GNAI3;CATIP;MMP11;NA;DNAI1;NA;NA;NA;NA
CD164L2;AHR;CAV1;MMP13;NA;DNAI2;NA;NA;NA;NA
CDHR3;ODR4;CBY1;C1GALT1C1;NA;DNAI3;NA;NA;NA;NA
CDHR4;PGRMC1;CCDC103;EDC3;NA;DNAI4;NA;NA;NA;NA
CEP126;NIPA2;CCDC13;EDC4;NA;DNAJB13;NA;NA;NA;NA
CES4A;PLSCR1;ODAD3;TPK1;NA;DNAL1;NA;NA;NA;NA
CFAP44;CD151;CCDC28B;COL3A1;NA;DNALI1;NA;NA;NA;NA
CFAP45;PTPRB;CCDC39;TST;NA;DPCD;NA;NA;NA;NA
CFAP46;FAAH2;CCDC66;PANK1;NA;DRC1;NA;NA;NA;NA
CFAP73;GNG7;CCNO;PANK3;NA;DRC3;NA;NA;NA;NA
CFAP74;HNF4A;CCT2;PANK4;NA;DYNC2I1;NA;NA;NA;NA
CFAP77;UPP1;CDC14A;ABCA7;NA;DYNC2I2;NA;NA;NA;NA
CFAP91;RGS17;CDC20;UQCRB;NA;DYNLRB2;NA;NA;NA;NA
CFAP206;SLC16A14;CDC20B;DIO1;NA;DYNLT2B;NA;NA;NA;NA
CFAP299;FBXO25;CDH23;DIO2;NA;DZANK1;NA;NA;NA;NA
CLDN3;CDKL1;CDK10;DIO3;NA;DZIP1L;NA;NA;NA;NA
CLHC1;SLC24A2;CDK20;ABCA2;NA;EFHC1;NA;NA;NA;NA
CLIC6;GRAMD4;CDKL5;FURIN;NA;ENKUR;NA;NA;NA;NA
CLMN;ABCC3;CDKN1B;JAK1;NA;FANK1;NA;NA;NA;NA
CNTRL;AK5;CELSR2;NCAN;NA;FOXJ1;NA;NA;NA;NA
CRACDL;UFSP2;CELSR3;HMMR;NA;GAS2L2;NA;NA;NA;NA
CRNDE;KCND2;CENPF;IDUA;NA;GAS8;NA;NA;NA;NA
CTXN1;NR4A1;CENPJ;KCNK16;NA;HYDIN;NA;NA;NA;NA
CYB561;ECE1;CEP120;KCNK17;NA;IFT27;NA;NA;NA;NA
DCDC1;SCNN1G;CEP128;KCNK13;NA;IFT43;NA;NA;NA;NA
DENND6B;RBPMS;CEP131;HMGCS1;NA;IFTAP;NA;NA;NA;NA
DMD;PPARD;CEP135;SLC39A8;NA;INTU;NA;NA;NA;NA
DMKN;PXDN;CEP162;COL4A5;NA;IQCE;NA;NA;NA;NA
DNAH3;SLC17A5;CEP164;COL4A4;NA;KIF3A;NA;NA;NA;NA
DNAH12;CYGB;CEP170;COL4A2;NA;LRRC23;NA;NA;NA;NA
DNAI7;HEXD;CEP19;CHST1;NA;LRRC34;NA;NA;NA;NA
DTHD1;POR;CEP250;SLC39A1;NA;MAPK15;NA;NA;NA;NA
DYDC2;LIPE;CEP350;SLC39A2;NA;MLF1;NA;NA;NA;NA
DYNLT4;ATP9B;CEP41;CHST2;NA;MNS1;NA;NA;NA;NA
DYNLT5;CDC34;CEP68;CHST5;NA;MOK;NA;NA;NA;NA
DZIP3;GDPGP1;CEP72;MCCC2;NA;MORN5;NA;NA;NA;NA
ECT2L;OTX2;CEP78;SLC39A6;NA;NEK1;NA;NA;NA;NA
EFCAB2;DHRS1;CEP89;GSTO1;NA;NME5;NA;NA;NA;NA
EFCAB10;DCAKD;CEP97;PSIP1;NA;ODAD1;NA;NA;NA;NA
EFHC2;NPY1R;CETN3;SULT4A1;NA;ODAD2;NA;NA;NA;NA
ERICH3;ELMOD3;CFAP161;PSAP;NA;ODAD4;NA;NA;NA;NA
FAM81B;PAX6;CFAP410;PPIB;NA;PACRG;NA;NA;NA;NA
FAM166B;SYT7;CFAP47;NDUFB4;NA;PIFO;NA;NA;NA;NA
FAM216B;KIF28P;CFAP58;CBS;NA;PPP1R42;NA;NA;NA;NA
FAM227A;HECA;CHMP4B;GFPT2;NA;PROM1;NA;NA;NA;NA
FAM229B;CYP3A4;CILK1;ACP5;NA;RABL2A;NA;NA;NA;NA
FBXO15;DEGS1;CIP2A;GANAB;NA;RABL2B;NA;NA;NA;NA
FHAD1;STOM;CLCN4;PAG1;NA;RFX2;NA;NA;NA;NA
FRMPD2;ABCB1;CLDN2;SMS;NA;RFX3;NA;NA;NA;NA
FYB2;PDE10A;CLRN1;PRKCSH;NA;ROPN1L;NA;NA;NA;NA
GALNS;NIM1K;CNGA4;CSGALNACT2;NA;RSPH1;NA;NA;NA;NA
GIPR;SLC51A;CPLANE2;GALNT5;NA;RSPH3;NA;NA;NA;NA
GON7;TTC39A;CRB3;GLS;NA;RSPH4A;NA;NA;NA;NA
GPR162;CCKAR;CRHR2;COL2A1;NA;RSPH9;NA;NA;NA;NA
GSTA1;NCS1;CSNK1D;GALNT6;NA;RUVBL1;NA;NA;NA;NA
HAGHL;FAAH;CTNNB1;NDUFV3;NA;SPA17;NA;NA;NA;NA
HOATZ;REG1A;CUL7;SLC36A2;NA;SPAG1;NA;NA;NA;NA
HSPBP1;SLC12A4;CYLD;SLC36A1;NA;SPAG6;NA;NA;NA;NA
IQCA1;WDR31;CYS1;ACAT1;NA;SPAG16;NA;NA;NA;NA
IQCD;SLC17A7;DCDC2;ALAS2;NA;SPAG17;NA;NA;NA;NA
IQCK;HPGDS;DDX59;BSG;NA;SPEF1;NA;NA;NA;NA
KCNE1;RHBDL1;DIAPH1;IVD;NA;SPEF2;NA;NA;NA;NA
KIF9;DUSP6;DISC1;ABCG1;NA;STK36;NA;NA;NA;NA
KLHDC9;DUSP14;DNAAF1;ENOPH1;NA;STOML3;NA;NA;NA;NA
KNDC1;ELOC;DNAAF2;SULT1A3;NA;TEKT1;NA;NA;NA;NA
LCA5L;PUSL1;DNAAF5;CPOX;NA;TEKT2;NA;NA;NA;NA
LDLRAD1;BMPR1A;DNAH1;COX4I1;NA;TEKT4;NA;NA;NA;NA
LINC01571;ZDHHC1;DNAH17;MVD;NA;TSGA10;NA;NA;NA;NA
LMLN;CA10;DNMBP;ALG10;NA;TTC29;NA;NA;NA;NA
LRRC10B;KCNC1;DPYSL2;ALG11;NA;TTLL9;NA;NA;NA;NA
LRRC46;GGT1;DRC7;ALG12;NA;UBXN10;NA;NA;NA;NA
LRRC71;TRPA1;DRD1;ALG13;NA;WDR90;NA;NA;NA;NA
LRRIQ1;MAP2K4;DRD5;ALG14;NA;ZMYND10;NA;NA;NA;NA
MAP1A;HHAT;DVL1;IFNA10;NA;NA;NA;NA;NA;NA
MAP3K19;SKP1;DYNLL1;APOBEC3G;NA;NA;NA;NA;NA;NA
MAP6;KDM1B;DYNLL2;COL11A1;NA;NA;NA;NA;NA;NA
MAP9;ACP2;DYNLRB1;CSGALNACT1;NA;NA;NA;NA;NA;NA
MARCHF10;TRMT9B;DYNLT1;ABCA6;NA;NA;NA;NA;NA;NA
MDH1B;UGT3A2;DZIP1;BANF1;NA;NA;NA;NA;NA;NA
MORN2;ABHD4;E2F4;IFNA21;NA;NA;NA;NA;NA;NA
MORN3;ZNF474;EGFR;HTR3B;NA;NA;NA;NA;NA;NA
MRLN;TMEM145;EHD1;HTR3A;NA;NA;NA;NA;NA;NA
MRPS31;CTSB;EHD3;RFT1;NA;NA;NA;NA;NA;NA
MS4A8;TMEM53;ENTR1;GLS2;NA;NA;NA;NA;NA;NA
MSH3;MFSD8;EVC;CRTAP;NA;NA;NA;NA;NA;NA
MSI2;OTX1;EVC2;IDS;NA;NA;NA;NA;NA;NA
MYH14;TACR2;EXOC3;FLAD1;NA;NA;NA;NA;NA;NA
NAT14;PAFAH2;EXOC4;NADSYN1;NA;NA;NA;NA;NA;NA
NBEA;DCLK3;EXOC5;HMOX2;NA;NA;NA;NA;NA;NA
NEK5;AVPR1B;EXOC6;PATL1;NA;NA;NA;NA;NA;NA
NEK11;DMRTA2;EXOC6B;BCAN;NA;NA;NA;NA;NA;NA
NSUN7;MECOM;EZH2;ELOVL5;NA;NA;NA;NA;NA;NA
NWD1;EOGT;FAM149B1;CTSA;NA;NA;NA;NA;NA;NA
ODF2L;PBLD;FAM161A;ACSL3;NA;NA;NA;NA;NA;NA
ODF3B;IP6K1;FAM183BP;HSD17B4;NA;NA;NA;NA;NA;NA
OMG;SLC49A3;CIBAR1;HSD17B7;NA;NA;NA;NA;NA;NA
OSBPL6;LARGE2;FGFR3;NDUFC1;NA;NA;NA;NA;NA;NA
P4HTM;SLC37A4;FHDC1;NDUFC2;NA;NA;NA;NA;NA;NA
PGM2L1;SERPINI1;FLCN;CD44;NA;NA;NA;NA;NA;NA
PIH1D2;GPX4;FLNA;CA13;NA;NA;NA;NA;NA;NA
PLEKHB1;WWOX;FNBP1L;CA12;NA;NA;NA;NA;NA;NA
PLXNB1;SGMS1;CEP20;BCAT2;NA;NA;NA;NA;NA;NA
PLXNB2;FEV;FOXN4;TPH1;NA;NA;NA;NA;NA;NA
PPIL6;FER;FSD1;TPH2;NA;NA;NA;NA;NA;NA
PPP1R16A;HDAC11;FSIP2;STS;NA;NA;NA;NA;NA;NA
PRR29;PRCP;FSTL1;MMP25;NA;NA;NA;NA;NA;NA
RAB36;B3GALT1;FUZ;MCFD2;NA;NA;NA;NA;NA;NA
RGS22;IFI30;GALNT11;ST6GALNAC4;NA;NA;NA;NA;NA;NA
RHPN1;FAIM;GALR2;ST6GALNAC3;NA;NA;NA;NA;NA;NA
RIBC1;FAXC;GALR3;ST6GALNAC2;NA;NA;NA;NA;NA;NA
RIBC2;NA;GLI1;ARSG;NA;NA;NA;NA;NA;NA
RIIAD1;NA;GLI2;GLUD1;NA;NA;NA;NA;NA;NA
SANBR;NA;GLI3;GPT2;NA;NA;NA;NA;NA;NA
SAXO2;NA;GLIS2;GLRA2;NA;NA;NA;NA;NA;NA
SHROOM3;NA;GMNC;CALR;NA;NA;NA;NA;NA;NA
SLC22A4;NA;GNAT1;BAAT;NA;NA;NA;NA;NA;NA
SLC44A4;NA;GNB1;CYB5A;NA;NA;NA;NA;NA;NA
SMIM22;NA;GOLGB1;ARSJ;NA;NA;NA;NA;NA;NA
SNTN;NA;GPBAR1;ARSK;NA;NA;NA;NA;NA;NA
SPACA9;NA;GPR161;OGN;NA;NA;NA;NA;NA;NA
SPAG8;NA;GPR173;MGAT4A;NA;NA;NA;NA;NA;NA
SPATA6;NA;GPR20;PNMT;NA;NA;NA;NA;NA;NA
SPATA17;NA;GPR22;MGAT4C;NA;NA;NA;NA;NA;NA
SPATA18;NA;GPR83;MGAT4B;NA;NA;NA;NA;NA;NA
SPATA33;NA;GPR88;SLC1A4;NA;NA;NA;NA;NA;NA
STK33;NA;GPSM1;SLC1A5;NA;NA;NA;NA;NA;NA
STMND1;NA;GRK1;AMY1B;NA;NA;NA;NA;NA;NA
STOX1;NA;GRK2;RPN1;NA;NA;NA;NA;NA;NA
TEX9;NA;GSK3B;RPN2;NA;NA;NA;NA;NA;NA
TJP3;NA;HAP1;SUCLA2P1;NA;NA;NA;NA;NA;NA
TMC4;NA;HAVCR1;COL11A2;NA;NA;NA;NA;NA;NA
TMC5;NA;HDAC6;TUSC3;NA;NA;NA;NA;NA;NA
TMEM45B;NA;HIF1A;IDI2;NA;NA;NA;NA;NA;NA
TMEM190;NA;HNF1B;MAN1B1;NA;NA;NA;NA;NA;NA
TMEM212;NA;HSD11B1;SULT1E1;NA;NA;NA;NA;NA;NA
TMEM232;NA;HSP90AA1;SLC25A16;NA;NA;NA;NA;NA;NA
TNFAIP8L1;NA;HSPA8;PYCR1;NA;NA;NA;NA;NA;NA
TNFRSF19;NA;HSPB11;CHRFAM7A;NA;NA;NA;NA;NA;NA
TOGARAM2;NA;HTR6;B3GNT4;NA;NA;NA;NA;NA;NA
TPPP3;NA;HTT;B3GNT5;NA;NA;NA;NA;NA;NA
TSPAN1;NA;HYLS1;B3GNT6;NA;NA;NA;NA;NA;NA
TSPAN19;NA;IGF1;B3GNT2;NA;NA;NA;NA;NA;NA
TTC21A;NA;IGF1R;B3GNT3;NA;NA;NA;NA;NA;NA
TTLL10;NA;INPP5B;COX6A1;NA;NA;NA;NA;NA;NA
TUBA4B;NA;INPP5E;B3GNT8;NA;NA;NA;NA;NA;NA
UBAC1;NA;INVS;B3GNT9;NA;NA;NA;NA;NA;NA
UBXN11;NA;IQCB1;KCNK6;NA;NA;NA;NA;NA;NA
VWA3A;NA;IQCG;NDUFA10;NA;NA;NA;NA;NA;NA
VWA3B;NA;IRS1;MAN1A2;NA;NA;NA;NA;NA;NA
WDR38;NA;JADE1;NDUFA12;NA;NA;NA;NA;NA;NA
WDR93;NA;JAZF1;NDUFA13;NA;NA;NA;NA;NA;NA
ZBBX;NA;JHY;LSS;NA;NA;NA;NA;NA;NA
ZC2HC1A;NA;KATNAL1;STAT2;NA;NA;NA;NA;NA;NA
ZNF273;NA;KATNAL2;TPO;NA;NA;NA;NA;NA;NA
ZNF440;NA;KCNF1;HLA-DRB3;NA;NA;NA;NA;NA;NA
ZNF487;NA;KCNH1;HLA-DRB1;NA;NA;NA;NA;NA;NA
NA;NA;KCNJ10;KCNK7;NA;NA;NA;NA;NA;NA
NA;NA;KCNJ13;SEC24D;NA;NA;NA;NA;NA;NA
NA;NA;KCTD17;EDEM2;NA;NA;NA;NA;NA;NA
NA;NA;KDM3A;EDEM3;NA;NA;NA;NA;NA;NA
NA;NA;KATNIP;SEC24C;NA;NA;NA;NA;NA;NA
NA;NA;KIAA0586;EDEM1;NA;NA;NA;NA;NA;NA
NA;NA;KIAA0753;SLC41A1;NA;NA;NA;NA;NA;NA
NA;NA;KIAA1549;DBH;NA;NA;NA;NA;NA;NA
NA;NA;KIF13B;SLC41A2;NA;NA;NA;NA;NA;NA
NA;NA;KIF14;VCAN;NA;NA;NA;NA;NA;NA
NA;NA;KIF24;SLC2A3;NA;NA;NA;NA;NA;NA
NA;NA;KIF27;CSAD;NA;NA;NA;NA;NA;NA
NA;NA;KIF2A;SLC2A1;NA;NA;NA;NA;NA;NA
NA;NA;KIF3B;ECHS1;NA;NA;NA;NA;NA;NA
NA;NA;KIF3C;HSD3B7;NA;NA;NA;NA;NA;NA
NA;NA;KIF5B;UQCRFS1;NA;NA;NA;NA;NA;NA
NA;NA;KIF6;UQCRC2;NA;NA;NA;NA;NA;NA
NA;NA;KIF7;DBT;NA;NA;NA;NA;NA;NA
NA;NA;KIFC1;UQCRC1;NA;NA;NA;NA;NA;NA
NA;NA;KISS1R;SLC6A12;NA;NA;NA;NA;NA;NA
NA;NA;KIZ;ALG8;NA;NA;NA;NA;NA;NA
NA;NA;KLC1;PDXK;NA;NA;NA;NA;NA;NA
NA;NA;LCA5;CYB5R3;NA;NA;NA;NA;NA;NA
NA;NA;LIMA1;NSDHL;NA;NA;NA;NA;NA;NA
NA;NA;LIMK2;DCP2;NA;NA;NA;NA;NA;NA
NA;NA;LRBA;ALG2;NA;NA;NA;NA;NA;NA
NA;NA;LRRC45;ALG3;NA;NA;NA;NA;NA;NA
NA;NA;LRRC56;ALG1;NA;NA;NA;NA;NA;NA
NA;NA;LRRK2;ALG5;NA;NA;NA;NA;NA;NA
NA;NA;LUZP1;SAT1;NA;NA;NA;NA;NA;NA
NA;NA;LZTFL1;COX6B1;NA;NA;NA;NA;NA;NA
NA;NA;MACF1;GM2A;NA;NA;NA;NA;NA;NA
NA;NA;MAGI2;SLC7A9;NA;NA;NA;NA;NA;NA
NA;NA;MAL;AMY2B;NA;NA;NA;NA;NA;NA
NA;NA;MAP1LC3A;SLC11A1;NA;NA;NA;NA;NA;NA
NA;NA;MAPK3;MGAM;NA;NA;NA;NA;NA;NA
NA;NA;MAPKAP1;SUMF2;NA;NA;NA;NA;NA;NA
NA;NA;MAPRE1;B3GNTL1;NA;NA;NA;NA;NA;NA
NA;NA;MARCHF7;MTR;NA;NA;NA;NA;NA;NA
NA;NA;MARK4;FDFT1;NA;NA;NA;NA;NA;NA
NA;NA;PMPCB;SLC46A1;NA;NA;NA;NA;NA;NA
NA;NA;MCHR1;CA3;NA;NA;NA;NA;NA;NA
NA;NA;MCIDAS;DLD;NA;NA;NA;NA;NA;NA
NA;NA;MCM2;DLAT;NA;NA;NA;NA;NA;NA
NA;NA;MCRS1;GALNT8;NA;NA;NA;NA;NA;NA
NA;NA;MDM1;GALNT9;NA;NA;NA;NA;NA;NA
NA;NA;MIB1;MBL2;NA;NA;NA;NA;NA;NA
NA;NA;MIR182;AGMAT;NA;NA;NA;NA;NA;NA
NA;NA;MIR183;RFK;NA;NA;NA;NA;NA;NA
