Gene_name,Centrosome,Cilia_expression,Flagella,Cilia_localization,Note
TTC30A,YES,YES,NO,YES,
TTC30B,YES,YES,NO,YES,
LCA5,NO,YES,NO,YES,
RPGR,NO,YES,NO,YES,
CC2D2A,NO,YES,NO,YES,
TRAF3IP1,NO,YES,NO,YES,
ODF2,YES,YES,NO,YES,
IFT140,NO,YES,NO,YES,
IQCB1,NO,YES,NO,YES,
RPGRIP1,NO,YES,YES,YES,
NPHP4,NO,YES,NO,YES,
TUBB4B,NO,YES,NO,YES,
SPATA7,NO,YES,NO,YES,
TTLL5,NO,YES,NO,YES,
CCDC85C,NO,YES,NO,YES,
TTC23L,NO,YES,NO,YES,
NBPF11,NO,YES,NO,YES,
ODAD3,NO,YES,NO,YES,
ROPN1L,NO,YES,NO,YES,
HAUS5,NO,YES,NO,YES,
ODF2L,NO,YES,NO,YES,
UNC119B,NO,YES,NO,YES,
SPAG17,NO,YES,NO,YES,
TMEM138,NO,YES,NO,YES,
CAPSL,NO,YES,NO,YES,
CCDC96,NO,YES,NO,YES,
C7orf57,NO,YES,NO,YES,
RUBCN,NO,YES,NO,YES,
DNAJB13,NO,YES,YES,YES,
KLHL4,NO,YES,NO,YES,
TUBB1,NO,YES,NO,YES,
CFAP45,NO,YES,NO,YES,
PRKAR2A,NO,YES,NO,YES,
CFAP91,NO,YES,NO,YES,
PRKCI,NO,YES,NO,YES,
BCL3,NO,YES,NO,YES,
DNAI7,NO,YES,NO,YES,
DNAL4,YES,YES,NO,YES,
LANCL1,NO,YES,NO,YES,
MNS1,NO,YES,NO,YES,
DNAJB6,NO,YES,NO,YES,
MAP2K5,NO,YES,NO,YES,
PTK2B,NO,YES,NO,YES,
GNB2,NO,YES,NO,YES,
EZR,NO,YES,NO,YES,
PRKACG,NO,YES,NO,YES,
ABL1,NO,YES,NO,YES,
MAP3K7,NO,YES,NO,YES,
DYNLT4,NO,YES,NO,YES,
MAPK14,NO,YES,NO,YES,
STOML3,NO,YES,NO,YES,
GSG1L,NO,YES,NO,YES,
GNAS,NO,YES,NO,YES,
STAM,NO,YES,NO,YES,
TRANK1,NO,YES,NO,YES,
EPB41L5,NO,YES,NO,YES,
NEK5,NO,YES,NO,YES,
PTPRA,NO,YES,NO,YES,
CCDC39,NO,YES,YES,YES,
MYO3B,NO,YES,NO,YES,
SPAG6,NO,YES,YES,YES,
C9orf116,NO,YES,NO,YES,
CDC5L,NO,YES,NO,YES,
FAM149B1,NO,YES,NO,YES,
WWTR1,NO,YES,NO,YES,
ZRANB1,NO,YES,NO,YES,
KIF23,NO,YES,NO,YES,
PSG8,NO,YES,NO,YES,
IPO8,NO,YES,YES,YES,
HIKESHI,NO,YES,NO,YES,
ODF3,NO,YES,YES,YES,
ACE2,NO,YES,NO,YES,
TM6SF2,NO,YES,NO,YES,
MKRN2OS,NO,YES,NO,YES,
NBPF14,NO,YES,NO,YES,
MAP4K1,NO,YES,NO,YES,
FAM117B,YES,YES,NO,YES,
STOM,NO,YES,NO,YES,
TEKT1,NO,YES,NO,YES,
IFITM1,NO,YES,NO,YES,
RSPH4A,NO,YES,NO,YES,
HYDIN,NO,YES,YES,YES,
IQCG,NO,YES,NO,YES,
RETNLB,NO,YES,NO,YES,
PICK1,NO,YES,NO,YES,
RSPH14,NO,YES,NO,YES,
ANXA1,NO,YES,NO,YES,
GZMK,NO,YES,NO,YES,
TEX55,NO,YES,NO,YES,
MLF1,NO,YES,NO,YES,
ADCY5,NO,YES,NO,YES,
DNAH10,NO,YES,YES,YES,
CATIP,NO,YES,NO,YES,
GOPC,NO,YES,NO,YES,
EFHC2,NO,YES,NO,YES,
ALDH3B1,NO,YES,NO,YES,
SPEF1,NO,YES,NO,YES,
WDR53,NO,YES,NO,YES,
JAM3,NO,YES,NO,YES,
PROM1,NO,YES,NO,YES,
RSPH3,NO,YES,NO,YES,
CD80,NO,YES,NO,YES,
MPDZ,NO,YES,NO,YES,
CFAP58,NO,YES,NO,YES,
MUC4,NO,YES,NO,YES,
HCFC2,NO,YES,NO,YES,
PSG9,NO,YES,NO,YES,
SPAG8,NO,YES,NO,YES,
CFAP52,NO,YES,YES,YES,
AK7,NO,YES,NO,YES,
EFCAB7,NO,YES,NO,YES,
FLT4,NO,YES,NO,YES,
DZIP1L,NO,YES,NO,YES,
UBXN11,NO,YES,NO,YES,
MTM1,NO,YES,NO,YES,
DYDC2,NO,YES,NO,YES,
OSGEPL1,NO,YES,NO,YES,
MORN3,NO,YES,NO,YES,
ACTA2,NO,YES,NO,YES,
MTR,NO,YES,NO,YES,
TEKT4,NO,YES,YES,YES,
CD3D,NO,YES,NO,YES,
C6orf136,NO,YES,NO,YES,
EXTL1,YES,YES,NO,YES,
AFG3L2,NO,YES,NO,YES,
LAS1L,NO,YES,NO,YES,
FBXO38,NO,YES,NO,YES,
TTLL4,NO,YES,NO,YES,
PLEKHH1,YES,YES,NO,YES,
DNAH5,NO,YES,NO,YES,
MYBPC3,NO,YES,NO,YES,
BASP1,NO,YES,NO,YES,
TMEM161A,NO,YES,NO,YES,
SPACA9,NO,YES,YES,YES,
DRC3,NO,YES,NO,YES,
SAC3D1,NO,YES,NO,YES,
MTO1,NO,YES,NO,YES,
PSG1,NO,YES,NO,YES,
KDR,NO,YES,NO,YES,
ZDHHC18,NO,YES,NO,YES,
DNAH6,NO,YES,NO,YES,
RPL22L1,NO,YES,NO,YES,
TASP1,NO,YES,NO,YES,
DNALI1,NO,YES,YES,YES,
ANXA4,NO,YES,NO,YES,
ANXA13,NO,YES,NO,YES,
DUSP23,NO,YES,NO,YES,
DCAF8L1,NO,YES,NO,YES,
NBPF9,NO,YES,NO,YES,
NBPF12,NO,YES,NO,YES,
PSG6,NO,YES,NO,YES,
MDFI,NO,YES,NO,YES,
PHF20,NO,YES,NO,YES,
GAS8,NO,YES,NO,YES,
MME,NO,YES,NO,YES,
EMC1,NO,YES,NO,YES,
CROCC,YES,YES,NO,YES,ciliary
NME5,NO,YES,NO,YES,
TAGLN,NO,YES,NO,YES,
SPEF2,NO,YES,NO,YES,
C1orf87,NO,YES,NO,YES,
CDC42SE1,NO,YES,NO,YES,
UHRF1,NO,YES,NO,YES,
PTPRCAP,NO,YES,NO,YES,
MPV17L2,NO,YES,NO,YES,
NBPF10,NO,YES,NO,YES,
ZBTB17,NO,YES,NO,YES,
BHLHE22,YES,YES,NO,YES,
VPS13C,NO,YES,NO,YES,
SPATA13,NO,YES,NO,YES,
GP1BA,NO,YES,NO,YES,
ZBBX,NO,YES,NO,YES,
AMMECR1,NO,YES,NO,YES,
NECAB1,NO,YES,NO,YES,
NAPRT,NO,YES,NO,YES,
ENKUR,NO,YES,NO,YES,
LDLRAP1,NO,YES,NO,YES,
CCDC189,NO,YES,YES,YES,
CFAP161,NO,YES,NO,YES,
ACAA1,NO,YES,NO,YES,
LCA5L,NO,YES,NO,YES,
CMYA5,NO,YES,NO,YES,
NCAPD2,NO,YES,NO,YES,
RIBC2,NO,YES,NO,YES,
FAM9A,NO,YES,NO,YES,
CABCOCO1,YES,YES,NO,YES,
LIMCH1,NO,YES,NO,YES,
PPP1R32,NO,YES,NO,YES,
ZW10,NO,YES,NO,YES,
CFAP100,NO,YES,NO,YES,
DPY30,NO,YES,NO,YES,
EVI2A,NO,YES,NO,YES,
HOPX,NO,YES,NO,YES,
CYSTM1,NO,YES,NO,YES,
CX3CL1,NO,YES,NO,YES,
C12orf75,NO,YES,NO,YES,
ESRRA,NO,YES,NO,YES,
FHAD1,NO,YES,NO,YES,
PABPC1L2A,NO,YES,NO,YES,ciliary
C4orf17,NO,YES,YES,YES,
HECW1,NO,YES,NO,YES,
CIBAR2,NO,YES,NO,YES,
RHBDL1,NO,YES,NO,YES,
ARMC2,NO,YES,NO,YES,
ADAMTS13,NO,YES,NO,YES,
CASP2,NO,YES,NO,YES,
CFAP77,NO,YES,NO,YES,
AK8,NO,YES,YES,YES,
SGTB,NO,YES,NO,YES,
NBPF15,NO,YES,NO,YES,
ERICH5,NO,YES,NO,YES,
ANXA6,NO,YES,NO,YES,
LRP1B,NO,YES,NO,YES,
CACNA1G,NO,YES,NO,YES,
RHOU,NO,YES,NO,YES,
ANKRD45,YES,YES,NO,YES,
CCDC142,NO,YES,NO,YES,
DNAH7,NO,YES,NO,YES,ciliary
SLC24A1,NO,YES,NO,YES,
AK9,NO,YES,NO,YES,
CFAP70,NO,YES,YES,YES,
NWD2,NO,YES,NO,YES,
ARHGEF38,YES,YES,NO,YES,
NUDT1,NO,YES,NO,YES,
NBPF1,NO,YES,NO,YES,
CFAP74,NO,YES,NO,YES,
C20orf85,NO,YES,NO,YES,
C2CD4C,NO,YES,NO,YES,
CCDC170,NO,YES,NO,YES,
DNAH9,NO,YES,NO,YES,
SLC5A6,NO,YES,NO,YES,
WASHC5,NO,YES,NO,YES,
DNAH1,NO,YES,NO,YES,
LRRC23,NO,YES,YES,YES,
PABPC1L2B,NO,YES,NO,YES,
FLI1,NO,YES,NO,YES,
ABHD5,NO,YES,NO,YES,
FAM189A2,NO,YES,NO,YES,
NODAL,NO,YES,NO,YES,
ISL1,NO,YES,NO,YES,
DNAH14,YES,YES,NO,YES,
VILL,NO,YES,NO,YES,
NBPF19,NO,YES,NO,YES,
NSD2,NO,YES,NO,YES,
TULP4,NO,YES,NO,YES,
TMEM237,NO,YES,NO,YES,
PIMREG,NO,YES,NO,YES,
NEFH,NO,YES,NO,YES,
HSD3B1,NO,YES,NO,YES,
ABCG1,NO,YES,NO,YES,
PSG11,NO,YES,NO,YES,
SPATA17,NO,YES,NO,YES,
TTC29,NO,YES,YES,YES,
C11orf1,NO,YES,NO,YES,
LDLRAD1,NO,YES,NO,YES,
HSD3B2,NO,YES,NO,YES,
GLB1L,NO,YES,NO,YES,
POP7,NO,YES,NO,YES,
CD47,NO,YES,NO,YES,
TTC17,NO,YES,NO,YES,
RGS17,NO,YES,NO,YES,
SPHK1,NO,YES,NO,YES,
CPNE6,NO,YES,NO,YES,
OVOL2,NO,YES,NO,YES,
TCEAL9,NO,YES,NO,YES,
CD33,NO,YES,NO,YES,
SUGCT,NO,YES,NO,YES,
FAM166B,NO,YES,NO,YES,
NALCN,NO,YES,NO,YES,
MCOLN3,NO,YES,NO,YES,
MRPS11,NO,YES,NO,YES,
POGZ,NO,YES,NO,YES,
GNE,NO,YES,NO,YES,
ARHGEF5,NO,YES,NO,YES,
SHPRH,NO,YES,NO,YES,
MTIF2,NO,YES,NO,YES,
RPUSD3,NO,YES,NO,YES,
ADAMTSL3,NO,YES,NO,YES,
ADGB,NO,YES,NO,YES,
ANKRD42,NO,YES,NO,YES,
AP5M1,NO,YES,NO,YES,
ARHGEF40,NO,YES,NO,YES,
ARMC3,NO,YES,NO,YES,
C1orf194,NO,YES,NO,YES,
C2orf50,NO,YES,NO,YES,
C3orf80,NO,YES,NO,YES,
C4orf47,NO,YES,YES,YES,
C10orf67,NO,YES,NO,YES,
C15orf65,NO,YES,NO,YES,
C16orf89,NO,YES,NO,YES,
CCDC173,NO,YES,YES,YES,
CCDC181,NO,YES,NO,YES,
CD164L2,NO,YES,NO,YES,
CDC42EP5,NO,YES,NO,YES,
CDHR3,NO,YES,NO,YES,
CFAP54,NO,YES,NO,YES,
CFAP126,NO,YES,NO,YES,
CFAP251,NO,YES,NO,YES,
CMTM4,NO,YES,NO,YES,
CYB5D1,NO,YES,NO,YES,
DEFB107A,NO,YES,NO,YES,
DEFB107B,NO,YES,NO,YES,
DLEC1,NO,YES,NO,YES,
DNAH11,NO,YES,NO,YES,
DNAH12,NO,YES,NO,YES,
ENO4,NO,YES,NO,YES,
ENPP3,NO,YES,NO,YES,
EPHA8,NO,YES,NO,YES,
ERICH3,NO,YES,NO,YES,
FAM162B,NO,YES,NO,YES,
GASK1B,NO,YES,NO,YES,
GGT6,NO,YES,NO,YES,
GPR155,NO,YES,NO,YES,
HAAO,NO,YES,NO,YES,
IL2,NO,YES,NO,YES,
INAFM1,NO,YES,NO,YES,
IRF5,NO,YES,NO,YES,
KIAA2012,NO,YES,NO,YES,
KIF19,YES,YES,NO,YES,
LRRC24,NO,YES,NO,YES,
LRRN1,NO,YES,NO,YES,
MMP27,NO,YES,NO,YES,
MORC4,NO,YES,NO,YES,
MS4A8,NO,YES,NO,YES,
MSANTD4,NO,YES,NO,YES,
NAGPA,NO,YES,NO,YES,
NBPF3,NO,YES,NO,YES,
NBPF20,NO,YES,YES,YES,
NBPF26,NO,YES,NO,YES,
NIPAL2,NO,YES,NO,YES,
NME9,NO,YES,NO,YES,
PAPPA2,NO,YES,NO,YES,
PEX2,NO,YES,NO,YES,
PHTF2,NO,YES,NO,YES,
PINLYP,NO,YES,NO,YES,
PLAC8,NO,YES,NO,YES,
PNMA8A,NO,YES,NO,YES,
PPIL6,NO,YES,NO,YES,
PSG3,NO,YES,NO,YES,
PSG4,NO,YES,NO,YES,
PSG5,NO,YES,NO,YES,
PSG7,NO,YES,NO,YES,
RASGEF1A,NO,YES,NO,YES,
RIIAD1,NO,YES,NO,YES,
RSPH9,NO,YES,NO,YES,
RSPH10B,NO,YES,YES,YES,
RSPH10B2,NO,YES,YES,YES,
SAMD15,NO,YES,NO,YES,
SAXO2,NO,YES,NO,YES,
SLC6A14,NO,YES,NO,YES,
SLC7A10,NO,YES,NO,YES,
SLC9A7,NO,YES,NO,YES,
SLC19A3,NO,YES,NO,YES,
SLC22A25,NO,YES,NO,YES,
SLC24A3,NO,YES,NO,YES,
SLC34A2,NO,YES,NO,YES,
SLC43A2,NO,YES,NO,YES,
SNTN,NO,YES,NO,YES,
SP140L,NO,YES,NO,YES,
SSTR4,NO,YES,NO,YES,
STMND1,NO,YES,NO,YES,
TDO2,NO,YES,NO,YES,
TEKT3,NO,YES,YES,YES,
TMEM117,NO,YES,NO,YES,
TMEM158,NO,YES,NO,YES,
TSBP1,NO,YES,NO,YES,
ZC3H6,NO,YES,NO,YES,
ZC4H2,NO,YES,NO,YES,
ZDHHC2,NO,YES,NO,YES,
ZNF239,NO,YES,YES,YES,
HSPB11,NO,YES,NO,NO,
IFT52,NO,YES,NO,NO,
BBS2,NO,YES,NO,NO,
IFT43,NO,YES,NO,NO,
BBS7,NO,YES,NO,NO,
CEP97,NO,YES,NO,NO,
ARL6,NO,YES,NO,NO,
BBS10,NO,YES,NO,NO,
B9D2,NO,YES,NO,NO,
TMEM231,NO,YES,NO,NO,
TUBB,NO,YES,NO,NO,
KIF3A,NO,YES,NO,NO,
TCHP,YES,YES,NO,NO,
TUBB2A,NO,YES,NO,NO,
CCDC40,NO,YES,NO,NO,
MAPRE3,NO,YES,NO,NO,
RUVBL1,NO,YES,NO,NO,
TUBB2B,NO,YES,NO,NO,
TUBB6,NO,YES,NO,NO,
TUBB3,NO,YES,NO,NO,
PACRG,NO,YES,YES,NO,
TUBB4A,NO,YES,NO,NO,
TNK2,NO,YES,NO,NO,
SPATA18,NO,YES,NO,NO,
TTBK2,NO,YES,NO,NO,
ANKRD35,NO,YES,NO,NO,
CIBAR1,NO,YES,NO,NO,
IGFBP4,NO,YES,NO,NO,
AGBL4,NO,YES,NO,NO,
WWC2,NO,YES,NO,NO,
MICAL1,NO,YES,NO,NO,
USHBP1,NO,YES,NO,NO,
ANKFY1,NO,YES,NO,NO,
TEKT2,NO,YES,NO,NO,
SNRNP200,NO,YES,NO,NO,
RAB23,YES,YES,NO,NO,
CFAP157,NO,YES,NO,NO,
ANKRD13B,NO,YES,NO,NO,
AURKC,NO,YES,NO,NO,
SHANK3,NO,YES,NO,NO,
SLC9A3R1,NO,YES,NO,NO,
RASA1,NO,YES,NO,NO,
UACA,NO,YES,NO,NO,
RFX6,NO,YES,NO,NO,
STAT5A,NO,YES,NO,NO,
SH3PXD2A,NO,YES,NO,NO,
HSPBP1,YES,YES,NO,NO,
TTC23,NO,YES,NO,NO,
PPP2R5D,NO,YES,NO,NO,
C5AR2,NO,YES,NO,NO,
CFAP53,NO,YES,NO,NO,
ARL15,NO,YES,NO,NO,
RRAD,NO,YES,NO,NO,
ARHGAP26,NO,YES,NO,NO,
PELI2,NO,YES,NO,NO,
RSPH1,YES,YES,NO,NO,
MRFAP1,NO,YES,NO,NO,
RINT1,NO,YES,NO,NO,
DNAI2,NO,YES,NO,NO,
TUBB8,NO,YES,NO,NO,
SLC34A1,NO,YES,NO,NO,
AFG1L,NO,YES,NO,NO,
GAPVD1,NO,YES,NO,NO,
LRRC18,NO,YES,NO,NO,
RNH1,NO,YES,NO,NO,
NOTO,NO,YES,NO,NO,
PRRT1,NO,YES,NO,NO,
DNMT1,NO,YES,NO,NO,
PKDCC,NO,YES,NO,NO,
GNB4,NO,YES,NO,NO,
TCTN3,NO,YES,NO,NO,
AGR2,NO,YES,NO,NO,
MYCBPAP,NO,YES,NO,NO,
SPA17,NO,YES,NO,NO,
PLAUR,NO,YES,NO,NO,
ARL13B,NO,YES,NO,NO,
NUDT4,NO,YES,NO,NO,
CORO2B,NO,YES,NO,NO,
BHLHA15,NO,YES,NO,NO,
LRRC45,YES,YES,NO,NO,
LTB4R2,NO,YES,NO,NO,
ZNF665,NO,YES,NO,NO,
ZBTB24,YES,YES,NO,NO,
RBKS,NO,YES,NO,NO,
ZCCHC10,NO,YES,NO,NO,
CSNK1G2,NO,YES,NO,NO,
CLEC16A,NO,YES,NO,NO,
NCS1,NO,YES,NO,NO,
ENG,NO,YES,NO,NO,
ZNRF1,NO,YES,NO,NO,
NYAP2,NO,YES,NO,NO,
STING1,NO,YES,NO,NO,
NAA11,YES,YES,NO,NO,
PLLP,NO,YES,NO,NO,
STAT5B,NO,YES,NO,NO,
SDAD1,NO,YES,NO,NO,
IGF2BP2,NO,YES,NO,NO,
SH3PXD2B,NO,YES,NO,NO,
CRIPT,NO,YES,NO,NO,
ETAA1,NO,YES,NO,NO,
ERMP1,NO,YES,NO,NO,
GTPBP4,NO,YES,NO,NO,
KIF26B,NO,YES,NO,NO,
ZFP2,NO,YES,NO,NO,
FAM47B,NO,YES,NO,NO,
ACADM,NO,YES,NO,NO,
CCDC17,NO,YES,NO,NO,
ADCY1,NO,YES,NO,NO,
MDM1,NO,YES,NO,NO,
SLC5A1,NO,YES,NO,NO,
DNAL1,NO,YES,NO,NO,
SLC9A6,NO,YES,NO,NO,
YY1AP1,NO,YES,NO,NO,
CNTN2,NO,YES,NO,NO,
IGSF8,NO,YES,NO,NO,
MED20,YES,YES,NO,NO,
RUNDC3B,NO,YES,NO,NO,
SLC23A1,NO,YES,NO,NO,
WBP2NL,NO,YES,NO,NO,
HEPN1,NO,YES,NO,NO,
ANO3,NO,YES,NO,NO,
ZBTB41,NO,YES,NO,NO,
WFDC2,NO,YES,NO,NO,
TRIM65,NO,YES,NO,NO,
AXDND1,NO,YES,YES,NO,
HTR1E,NO,YES,NO,NO,
SLC12A1,NO,YES,NO,NO,
MRPL14,NO,YES,NO,NO,
C6orf132,NO,YES,NO,NO,
OXSR1,NO,YES,NO,NO,
SLC22A18,NO,YES,NO,NO,
PELI1,NO,YES,NO,NO,
SPI1,NO,YES,NO,NO,
TTLL6,NO,YES,NO,NO,
SCN11A,NO,YES,NO,NO,
ANK1,NO,YES,NO,NO,
TAMM41,NO,YES,NO,NO,
ADAMTS5,NO,YES,NO,NO,
ZNF512B,NO,YES,NO,NO,
LENG1,NO,YES,YES,NO,
GID4,NO,YES,NO,NO,
LNPEP,NO,YES,NO,NO,
C4orf46,NO,YES,NO,NO,
MIPEP,NO,YES,NO,NO,
TMEM171,NO,YES,NO,NO,
CYP2E1,NO,YES,NO,NO,
CYP4B1,NO,YES,NO,NO,
GRXCR1,NO,YES,NO,NO,
VGF,NO,YES,NO,NO,
ALPG,NO,YES,NO,NO,
P2RY2,NO,YES,NO,NO,
TEX12,NO,YES,NO,NO,
GPAT2,NO,YES,NO,NO,
DIS3L,YES,YES,NO,NO,
CGGBP1,NO,YES,NO,NO,
ACKR2,NO,YES,NO,NO,
GCM1,NO,YES,NO,NO,
MTRF1L,NO,YES,NO,NO,
ANKRD65,NO,YES,NO,NO,
C2orf81,NO,YES,NO,NO,
C5orf49,NO,YES,YES,NO,
CDNF,NO,YES,NO,NO,
CFAP300,YES,YES,NO,NO,
CHADL,NO,YES,NO,NO,
CHRNB1,NO,YES,NO,NO,
DEFB129,NO,YES,NO,NO,
EBPL,NO,YES,NO,NO,
EDDM3B,NO,YES,NO,NO,
EVA1C,NO,YES,NO,NO,
FAM131C,NO,YES,NO,NO,
FSIP1,NO,YES,NO,NO,
GALNT8,NO,YES,NO,NO,
GON4L,NO,YES,NO,NO,
IER5,NO,YES,NO,NO,
KIF6,YES,YES,NO,NO,
LRRC34,NO,YES,NO,NO,
LRRC37A,NO,YES,NO,NO,
LRRC37A2,NO,YES,NO,NO,
LRRC37A3,NO,YES,NO,NO,
MDH1B,NO,YES,YES,NO,
MFAP3L,NO,YES,NO,NO,
MRO,NO,YES,NO,NO,
NECAP1,NO,YES,NO,NO,
NET1,NO,YES,NO,NO,
NIBAN3,NO,YES,NO,NO,
NPFFR1,NO,YES,NO,NO,
NUDT4B,NO,YES,NO,NO,
NUDT10,NO,YES,NO,NO,
NUDT11,NO,YES,NO,NO,
PDILT,NO,YES,NO,NO,
PDZD4,NO,YES,NO,NO,
PLK5,NO,YES,NO,NO,
RNASE2,NO,YES,NO,NO,
SECTM1,NO,YES,NO,NO,
SERGEF,NO,YES,NO,NO,
SFTPA1,NO,YES,NO,NO,
SLC44A3,NO,YES,NO,NO,
SLC44A4,NO,YES,NO,NO,
SMIM24,NO,YES,NO,NO,
SMIM34A,NO,YES,NO,NO,
SMIM34B,NO,YES,NO,NO,
SPINK8,NO,YES,NO,NO,
TAF1L,NO,YES,NO,NO,
TMEM116,NO,YES,NO,NO,
TMEM253,NO,YES,NO,NO,
TREH,NO,YES,NO,NO,
TUBB8B,NO,YES,NO,NO,
VWA3B,NO,YES,NO,NO,
WSCD1,NO,YES,NO,NO,
ZNF121,YES,YES,NO,NO,
ZNF407,NO,YES,NO,NO,
ZNF658,NO,YES,NO,NO,
ZNF727,NO,YES,NO,NO,
ZNF736,NO,YES,NO,NO,
ODAD4,YES,YES,NO,NA,
ODAD2,NO,YES,NO,NA,